month,band,plant_CNRL HORIZON OIL SANDS PROJECT,plant_FORT HILLS MINE,plant_JACKPINE MINE,plant_KEARL MINE PROJECT 2-9-097-07W4M,plant_MUSKEG RIVER MINE,plant_SUNCOR ENERGY OSG,plant_SYNCRUDE AURORA,plant_SYNCRUDE MILDRED LAKE,proj_ath_hangingstone,proj_ath_leismer,proj_cnq_jackfish,proj_cnq_kirby,proj_cnq_peace_river,proj_cnq_primrose,proj_connacher_great_divide,proj_cop_surmont,proj_cve_christina_lake,proj_cve_foster_creek,proj_cve_sunrise,proj_gfr_hangingstone_exp,proj_harvest_blackgold,proj_imo_cold_lake,proj_ipc_blackrod,proj_narrows_lake,proj_petrochina_mackay,proj_scr_lindbergh,proj_scr_orion,proj_scr_tucker,proj_su_firebag,proj_su_mackay_river,scoplant_CNRL HORIZON OIL SANDS PROJECT,scoplant_SHELL SCOTFORD UPGRADER,scoplant_STURGEON REFINERY,scoplant_SUNCOR ENERGY OSG,scoplant_SYNCRUDE MILDRED LAKE
2026-09,nc,336.2,196.8,138.7,335.8,220.7,240.3,199.0,158.6,11.4,32.7,143.8,70.7,3.9,105.8,25.4,159.5,237.4,288.0,69.6,19.5,8.5,196.0,1.7,57.1,10.3,20.9,29.4,30.2,288.5,19.0,57.6,342.9,42.8,285.3,236.5
2026-10,fc,336.9,194.1,140.4,303.8,207.8,205.4,197.9,171.4,11.5,33.8,139.7,73.1,4.1,99.6,23.3,192.5,340.9,287.0,70.0,20.6,11.3,198.1,7.0,57.1,9.9,20.6,31.2,29.9,296.1,39.4,189.5,354.9,43.2,274.0,296.2
2026-11,fc,345.6,200.0,176.0,314.1,207.1,294.4,230.2,196.6,11.4,33.7,135.3,74.1,4.1,100.9,25.8,192.5,359.3,292.3,70.0,22.8,13.9,209.3,8.8,57.1,10.0,20.5,29.1,30.8,297.9,45.0,317.8,364.9,48.1,387.0,369.2
2026-12,fc,348.1,199.8,164.5,321.3,207.5,315.1,238.1,203.1,11.3,34.0,134.5,73.6,4.1,109.2,25.7,196.8,352.4,297.4,70.0,24.2,13.3,208.9,10.3,57.1,10.0,20.4,30.1,31.7,305.1,44.1,315.6,366.3,49.3,387.6,374.7
2027-01,fc,295.6,165.7,151.5,282.4,198.8,267.2,203.5,172.4,11.1,32.5,135.5,70.0,3.7,96.5,23.6,189.4,360.2,283.3,70.0,25.6,10.6,199.0,12.2,57.1,10.3,20.3,27.0,31.5,297.4,44.3,265.5,361.4,42.9,367.5,328.9
2027-02,fc,310.3,173.7,145.6,267.2,218.4,263.0,193.7,170.7,11.1,33.1,135.9,70.4,3.7,92.7,24.1,191.9,365.6,280.9,70.0,25.2,12.3,201.6,13.9,57.1,10.5,19.3,26.5,33.1,293.5,45.2,283.8,364.3,46.2,365.6,332.0
2027-03,fc,318.7,190.8,151.5,287.9,195.5,287.4,225.1,166.3,11.7,33.8,138.9,71.8,3.7,103.6,24.3,192.7,362.0,273.5,70.0,23.7,12.0,201.4,15.6,57.1,10.5,19.1,27.1,33.2,297.2,44.6,290.7,343.7,47.4,385.7,331.9
2027-04,fc,337.9,158.7,107.7,296.8,192.4,273.5,143.4,146.5,11.5,34.6,126.3,69.7,3.7,71.5,23.6,187.8,362.4,238.6,70.0,22.5,10.4,196.3,17.2,57.1,10.6,20.0,28.0,32.6,295.0,44.8,303.1,277.1,44.9,386.5,240.2
2027-05,fc,206.4,196.6,118.3,210.7,161.9,198.2,209.0,128.8,11.1,36.0,136.2,70.9,3.2,92.0,23.7,192.4,354.9,261.3,70.0,22.0,9.0,191.6,19.2,57.1,10.6,19.5,28.4,30.8,292.5,41.2,175.2,279.1,41.1,310.2,268.3
2027-06,fc,242.5,198.0,140.6,289.7,209.8,219.7,226.9,170.2,11.5,37.9,136.0,76.4,3.4,95.8,24.4,187.7,351.7,280.2,70.0,22.4,10.1,197.6,21.1,57.1,10.4,18.9,28.4,21.0,294.1,44.3,215.7,332.2,36.9,308.2,356.5
2027-07,fc,338.6,177.3,151.6,312.4,220.4,290.8,215.9,178.2,11.1,38.8,140.1,73.8,3.5,105.4,25.2,190.4,380.8,287.4,70.0,21.7,12.4,199.5,23.0,57.1,10.4,20.4,28.0,30.5,265.6,42.9,320.9,368.8,29.6,367.3,355.0
2027-08,fc,324.0,162.0,162.3,319.0,207.8,290.7,217.2,194.7,11.4,39.4,145.9,73.5,3.5,99.2,25.5,154.9,374.3,283.6,70.0,22.0,9.9,191.6,24.8,57.1,10.3,20.5,28.0,29.8,297.7,45.0,301.8,371.2,37.3,372.8,357.5
2027-09,fc,336.2,196.8,138.7,335.8,220.7,240.3,199.0,158.6,11.4,39.7,143.8,70.7,3.9,105.8,25.5,159.5,327.7,288.0,70.0,19.5,8.5,199.0,26.6,57.1,10.3,20.9,29.4,30.1,288.5,7.0,293.9,342.9,42.8,285.3,313.5
2027-10,fc,336.9,194.1,140.4,303.8,207.8,205.4,197.9,171.4,11.5,39.8,139.7,73.1,4.1,99.6,23.3,192.5,377.5,287.0,70.0,20.6,11.3,201.1,28.4,57.1,9.9,20.6,31.2,29.9,296.1,39.4,314.8,354.9,43.2,274.0,318.6
2027-11,fc,345.6,200.0,176.0,314.1,207.1,309.4,230.2,196.6,11.4,39.7,135.3,74.1,4.1,100.9,25.8,192.5,375.9,292.3,70.0,22.8,13.9,212.3,30.2,57.1,10.0,20.5,29.1,30.8,297.9,45.0,324.1,364.9,48.1,392.0,369.2
2027-12,fc,348.1,199.8,164.5,321.3,207.5,315.1,238.1,203.1,11.3,40.0,134.5,73.6,4.1,109.2,25.7,196.8,368.9,297.4,70.0,24.2,13.3,211.9,30.0,57.1,10.0,20.4,30.1,31.7,305.1,44.1,321.9,366.3,49.3,387.6,374.7
